ICDO3.2	Level	Term
9538/3	Related	Rhabdoid meningioma
9539/1	Preferred	Atypical meningioma
9539/3	Preferred	Meningeal sarcomatosis
954-957	2	Nerve sheath tumors
9540/0	Preferred	Neurofibroma, NOS
9540/3	Preferred	Malignant peripheral nerve sheath tumor, NOS
9540/3	Synonym	MPNST, NOS
9540/3	Synonym	Neurofibrosarcoma
9540/3	Synonym	Neurogenic sarcoma
9540/3	Synonym	Neurosarcoma
9540/3	Related	Melanotic MPNST
9540/3	Related	Melanotic psammomatous MPNST
9540/3	Related	MPNST with glandular differentiation
9540/3	Related	MPNST with mesenchymal differentiation
9540/3	Related	MPNST with perineurial differentiation
9541/0	Preferred	Melanotic neurofibroma
9542/3	Preferred	Malignant peripheral nerve sheath tumor, epithelioid
9542/3	Synonym	Epithelioid MPNST
9550/0	Preferred	Plexiform neurofibroma
9550/0	Synonym	Plexiform neuroma
9560/0	Preferred	Schwannoma, NOS
9560/0	Synonym	Neurilemoma, NOS
9560/0	Synonym	Neurinoma
9560/0	Related	Acoustic neuroma
9560/0	Related	Ancient schwannoma
9560/0	Related	Cellular schwannoma
9560/0	Related	Degenerated schwannoma
9560/0	Related	Plexiform schwannoma
9560/0	Related	Psammomatous schwannoma
9560/1	Preferred	Melanotic schwannoma
9560/1	Synonym	Pigmented schwannoma
9560/3	Preferred	Neurilemoma, malignant
9560/3	Synonym	Malignant schwannoma, NOS
9560/3	Synonym	Neurilemosarcoma
9561/3	Preferred	Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation
9561/3	Synonym	Malignant schwannoma with rhabdomyoblastic differentiation
9561/3	Synonym	MPNST with rhabdomyoblastic differentiation
9561/3	Synonym	Triton tumor, malignant
9562/0	Preferred	Nerve sheath myxoma
9562/0	Synonym	Neurothekeoma
9562/0	Related	Cellular neurothekeoma
9563/0	Preferred	Nerve sheath tumor, NOS
9563/0	Related	Hybrid nerve sheath tumor
9570/0	Preferred	Neuroma, NOS
9570/0	Related	Solitary circumscribed neuroma
9571/0	Preferred	Perineurioma, NOS
9571/0	Related	Intraneural perineurioma
9571/0	Related	Soft tissue perineurioma
9571/3	Preferred	Perineurioma, malignant
958	2	Granular cell tumors and alveolar soft part sarcomas
9580/0	Preferred	Granular cell tumor, NOS (except of sellar region M-9582/0)
9580/0	Synonym	Granular cell myoblastoma, NOS
9580/3	Preferred	Granular cell tumor, malignant
9580/3	Synonym	Granular cell myoblastoma, malignant
9581/3	Preferred	Alveolar soft part sarcoma
9582/0	Preferred	Granular cell tumor of sellar region
959-972	2	Hodgkin and non-Hodgkin lymphomas
959	3	Malignant lymphomas, NOS or diffuse
9590/3	Preferred	Malignant lymphoma, NOS
9590/3	Synonym	Lymphoma, NOS
9590/3	Synonym	Microglioma
9591/1	Preferred	Monoclonal B-cell lymphocytosis, NOS (see also M-9823/1)
9591/1	Related	Monoclonal B-cell lymphocytosis, non-CLL type
9591/3	Preferred	Malignant lymphoma, non-Hodgkin, NOS
9591/3	Synonym	Non-Hodgkin lymphoma, NOS
9591/3	Related	B-cell lymphoma, NOS
9591/3	Related	Lymphosarcoma, NOS
9591/3	Synonym	Lymphosarcoma, diffuse
9591/3	Related	Malignant lymphoma, diffuse, NOS
9591/3	Related	Malignant lymphoma, non-cleaved cell, NOS
9591/3	Related	Reticulum cell sarcoma, NOS
9591/3	Synonym	Reticulosarcoma, NOS
9591/3	Synonym	Reticulum cell sarcoma, diffuse
9591/3	Synonym	Reticulosarcoma, diffuse
9591/3	Related	Hairy cell leukemia variant
9591/3	Related	Malignant lymphoma, lymphocytic, intermediate differentiation, nodular
9591/3	Related	Malignant lymphoma, lymphocytic, poorly differentiated, diffuse
9591/3	Synonym	Malignant lymphoma, cleaved cell, NOS
9591/3	Synonym	Malignant lymphoma, small cleaved cell, NOS
9591/3	Related	Malignant lymphoma, small cell, noncleaved, diffuse
9591/3	Synonym	Malignant lymphoma, undifferentiated cell type, NOS
9591/3	Synonym	Malignant lymphoma, undifferentiated cell, non-Burkitt
9591/3	Related	Malignant lymphoma, small cleaved cell, diffuse
9591/3	Related	Splenic B-cell lymphoma/leukemia, unclassifiable
9591/3	Related	Splenic diffuse red pulp small B-cell lymphoma
9596/3	Preferred	Composite Hodgkin and non-Hodgkin lymphoma
9596/3	Related	B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and classical Hodgkin lymphoma
9597/3	Preferred	Primary cutaneous follicle center lymphoma
965-966	3	Hodgkin lymphomas
9650/3	Preferred	Hodgkin lymphoma, NOS
9650/3	Synonym	Hodgkin disease, NOS
9650/3	Synonym	Malignant lymphoma, Hodgkin
9650/3	Related	Classical Hodgkin lymphoma post-transplant lymphoproliferative disease
9651/3	Preferred	Hodgkin lymphoma, lymphocyte-rich
9651/3	Synonym	Classical Hodgkin lymphoma, lymphocyte-rich
9651/3	Related	Hodgkin disease, lymphocyte predominance, NOS
9651/3	Synonym	Hodgkin disease, lymphocyte predominance, diffuse
9651/3	Synonym	Hodgkin disease, lymphocytic-histiocytic predominance
9652/3	Preferred	Hodgkin lymphoma, mixed cellularity, NOS
9652/3	Synonym	Classical Hodgkin lymphoma, mixed cellularity, NOS
9653/3	Preferred	Hodgkin lymphoma, lymphocyte depletion, NOS
9653/3	Synonym	Classical Hodgkin lymphoma, lymphocyte depletion, NOS
9654/3	Preferred	Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis
9654/3	Synonym	Classical Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis
9655/3	Preferred	Hodgkin lymphoma, lymphocyte depletion, reticular
9655/3	Synonym	Classical Hodgkin lymphoma, lymphocyte depletion, reticular
9659/3	Preferred	Hodgkin lymphoma, nodular lymphocyte predominant
9659/3	Synonym	Hodgkin paragranuloma, NOS
9659/3	Synonym	Hodgkin paragranuloma, nodular
9661/3	Preferred	Hodgkin granuloma
9662/3	Preferred	Hodgkin sarcoma
9663/3	Preferred	Hodgkin lymphoma, nodular sclerosis, NOS
9663/3	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, NOS
9663/3	Synonym	Hodgkin disease, nodular sclerosis, NOS
9664/3	Preferred	Hodgkin lymphoma, nodular sclerosis, cellular phase
9664/3	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, cellular phase
9665/3	Preferred	Hodgkin lymphoma, nodular sclerosis, grade 1
9665/3	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, grade 1
9665/3	Synonym	Hodgkin disease, nodular sclerosis, lymphocyte predominance
9665/3	Synonym	Hodgkin disease, nodular sclerosis, mixed cellularity
9667/3	Preferred	Hodgkin lymphoma, nodular sclerosis, grade 2
9667/3	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, grade 2
9667/3	Synonym	Hodgkin disease, nodular sclerosis, lymphocyte depletion
9667/3	Synonym	Hodgkin disease, nodular sclerosis, syncytial variant
967-972	3	Non-hodgkin lymphomas
967-969	3	Mature B-cell lymphomas
9671/3	Preferred	Lymphoplasmacytic lymphoma (see also M-9761/3)
9671/3	Synonym	Malignant lymphoma, lymphoplasmacytoid
9671/3	Related	Immunocytoma
9671/3	Related	Malignant lymphoma, plasmacytoid
9671/3	Related	Plasmacytic lymphoma
9673/1	Preferred	In situ mantle cell neoplasia
9673/1	Synonym	In situ mantle cell lymphoma
9673/3	Preferred	Mantle cell lymphoma includes all variants
9673/3	Synonym	Malignant lymphoma, centrocytic
9673/3	Synonym	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
9673/3	Synonym	Malignant lymphomatous polyposis
9673/3	Synonym	Mantle zone lymphoma
9675/3	Preferred	Malignant lymphoma, mixed small and large cell, diffuse (see also M-9690/3)
9675/3	Synonym	Malignant lymphoma, centroblastic-centrocytic, NOS
9675/3	Synonym	Malignant lymphoma, centroblastic-centrocytic, diffuse
9675/3	Synonym	Malignant lymphoma, mixed cell type, diffuse
9675/3	Synonym	Malignant lymphoma, mixed lymphocytic-histiocytic, diffuse
9678/3	Preferred	Primary effusion lymphoma
9679/3	Preferred	Mediastinal large B-cell lymphoma
9679/3	Synonym	Thymic large B-cell lymphoma
9680/1	Preferred	EBV positive mucocutaneous ulcer
9680/3	Preferred	Diffuse large B-cell lymphoma, NOS
9680/3	Synonym	Malignant lymphoma, large B-cell, diffuse, NOS
9680/3	Synonym	Malignant lymphoma, histiocytic, NOS
9680/3	Synonym	Malignant lymphoma, large B-cell, NOS
9680/3	Synonym	Malignant lymphoma, large B-cell, diffuse, centroblastic, NOS
9680/3	Synonym	Malignant lymphoma, large cell, NOS
9680/3	Synonym	Malignant lymphoma, large cell, cleaved, NOS
9680/3	Synonym	Malignant lymphoma, large cell, diffuse, NOS
9680/3	Synonym	Malignant lymphoma, large cell, noncleaved, NOS
9680/3	Synonym	Malignant lymphoma, noncleaved, NOS
9680/3	Synonym	Malignant lymphoma, noncleaved, diffuse, NOS
9680/3	Synonym	Malignant lymphoma, histiocytic, diffuse
9680/3	Synonym	Malignant lymphoma, large cell, cleaved and noncleaved
9680/3	Synonym	Malignant lymphoma, large cell, cleaved, diffuse
9680/3	Synonym	Malignant lymphoma, large cell, noncleaved, diffuse
9680/3	Related	Malignant lymphoma, centroblastic, NOS
9680/3	Related	Diffuse large B-cell lymphoma, germinal center B-cell subtype
9680/3	Related	Diffuse large B-cell lymphoma, activated B-cell subtype
9680/3	Related	Malignant lymphoma, centroblastic, diffuse
9680/3	Related	Anaplastic large B-cell lymphoma
9680/3	Related	B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma
9680/3	Related	Diffuse large B-cell lymphoma associated with chronic inflammation
9680/3	Related	EBV positive diffuse large B-cell lymphoma
9680/3	Related	Primary cutaneous diffuse large B-cell lymphoma, leg type
9680/3	Related	Primary diffuse large B-cell lymphoma of CNS
9680/3	Related	High grade B-cell lymphoma, NOS
9680/3	Related	High grade B-cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements
9680/3	Related	Vitreoretinal lymphoma
9684/3	Preferred	Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS
9684/3	Synonym	Malignant lymphoma, immunoblastic, NOS
9684/3	Synonym	Immunoblastic sarcoma
9684/3	Synonym	Malignant lymphoma, large cell, immunoblastic
9687/3	Preferred	Burkitt lymphoma, NOS includes all variants
9687/3	Synonym	Burkitt tumor
9687/3	Synonym	Malignant lymphoma, small noncleaved, Burkitt type
9687/3	Synonym	Malignant lymphoma, undifferentiated, Burkitt type
9687/3	Related	Burkitt-like lymphoma, NOS
9687/3	Related	Burkitt-like lymphoma with 11q aberration
9687/3	Synonym	Burkitt cell leukemia
9687/3	Synonym	Acute leukemia, Burkitt type
9687/3	Synonym	Acute lymphoblastic leukemia, mature B-cell type
9687/3	Synonym	B-ALL
9687/3	Synonym	FAB L3
9688/3	Preferred	T-cell/histiocyte rich large B-cell lymphoma
9688/3	Synonym	T-cell rich large B-cell lymphoma
9688/3	Synonym	Histiocyte-rich large B-cell lymphoma
9689/3	Preferred	Splenic marginal zone B-cell lymphoma
9689/3	Synonym	Splenic marginal zone lymphoma, NOS
9689/3	Synonym	Splenic lymphoma with villous lymphocytes
9690/3	Preferred	Follicular lymphoma, NOS (see also M-9675/3)
9690/3	Synonym	Malignant lymphoma, follicle center, NOS
9690/3	Synonym	Malignant lymphoma, follicular, NOS
9690/3	Synonym	Malignant lymphoma, lymphocytic, nodular, NOS
9690/3	Synonym	Malignant lymphoma, nodular, NOS
9690/3	Synonym	Malignant lymphoma, centroblastic-centrocytic, follicular
9690/3	Synonym	Malignant lymphoma, follicle center, follicular
9690/3	Related	Follicular lymphoma, pediatric type
9691/3	Preferred	Follicular lymphoma, grade 2
9691/3	Synonym	Malignant lymphoma, mixed cell type, follicular
9691/3	Synonym	Malignant lymphoma, mixed cell type, nodular
9691/3	Synonym	Malignant lymphoma, mixed lymphocytic-histiocytic, nodular
9691/3	Synonym	Malignant lymphoma, mixed small cleaved and large cell, follicular
9695/1	Preferred	In situ follicular neoplasia
9695/1	Synonym	In situ follicular lymphoma
9695/3	Preferred	Follicular lymphoma, grade 1
9695/3	Synonym	Follicular lymphoma, small cleaved cell
9695/3	Synonym	Malignant lymphoma, lymphocytic, poorly differentiated, nodular
9695/3	Synonym	Malignant lymphoma, small cleaved cell, follicular
9695/3	Related	Follicular lymphoma, duodenal type
9698/3	Preferred	Follicular lymphoma, grade 3
9698/3	Synonym	Malignant lymphoma, large cell, follicular, NOS
9698/3	Synonym	Malignant lymphoma, noncleaved cell, follicular, NOS
9698/3	Synonym	Follicular lymphoma, grade 3A
9698/3	Synonym	Follicular lymphoma, grade 3B
9698/3	Synonym	Malignant lymphoma, centroblastic, follicular
9698/3	Synonym	Malignant lymphoma, histiocytic, nodular
9698/3	Synonym	Malignant lymphoma, large cell, noncleaved, follicular
9698/3	Synonym	Malignant lymphoma, large cleaved cell, follicular
9698/3	Synonym	Malignant lymphoma, lymphocytic, well differentiated, nodular
9698/3	Related	Large B-cell lymphoma with IRF4 rearrangement
9699/3	Preferred	Marginal zone B-cell lymphoma, NOS
9699/3	Synonym	Marginal zone lymphoma, NOS
9699/3	Synonym	BALT lymphoma
9699/3	Synonym	Bronchus-associated lymphoid tissue lymphoma
9699/3	Synonym	MALT lymphoma
9699/3	Synonym	Monocytoid B-cell lymphoma
9699/3	Synonym	Mucosa-associated lymphoid tissue lymphoma
9699/3	Synonym	Nodal marginal zone lymphoma
9699/3	Synonym	SALT lymphoma
9699/3	Synonym	Skin-associated lymphoid tissue lymphoma
9699/3	Related	Extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue
9699/3	Related	Primary choroidal lymphoma
970-971	3	Mature T- and NK-cell lymphomas
9700/3	Preferred	Mycosis fungoides
9700/3	Synonym	Pagetoid reticulosis
9700/3	Related	Granulomatous slack skin
9701/3	Preferred	Sezary syndrome
9701/3	Synonym	Sezary disease
9702/1	Preferred	Indolent T-cell lymphoproliferative disorder of gastrointestinal tract
9702/3	Preferred	Mature T-cell lymphoma, NOS
9702/3	Synonym	Peripheral T-cell lymphoma, NOS
9702/3	Synonym	T-cell lymphoma, NOS
9702/3	Synonym	Peripheral T-cell lymphoma, large cell
9702/3	Synonym	Peripheral T-cell lymphoma, pleomorphic medium and large cell
9702/3	Synonym	Peripheral T-cell lymphoma, pleomorphic small cell
9702/3	Synonym	T-zone lymphoma
9702/3	Related	Lymphoepithelioid lymphoma
9702/3	Synonym	Lennert lymphoma
9702/3	Related	Follicular T-cell lymphoma
9702/3	Related	Nodal peripheral T-cell lymphoma with T follicular helper phenotype
9705/3	Preferred	Angioimmunoblastic T-cell lymphoma
9705/3	Synonym	Angioimmunoblastic lymphoma
9705/3	Synonym	Peripheral T-cell lymphoma, AILD (Angioimmunoblastic Lymphadenopathy with Dysproteinemia)
9708/3	Preferred	Subcutaneous panniculitis-like T-cell lymphoma
9709/1	Preferred	Primary cutaneous CD4 positive small/medium T-cell lymphoproliferative disorder
9709/1	Related	Primary cutaneous CD4 positive small/medium T-cell lymphoma
9709/3	Preferred	Cutaneous T-cell lymphoma, NOS
9709/3	Synonym	Cutaneous lymphoma, NOS
9709/3	Related	Primary cutaneous CD8 positive aggressive epidermotropic cytotoxic T-cell lymphoma
9709/3	Related	Primary cutaneous acral CD8 positive T-cell lymphoma
9712/3	Preferred	Intravascular large B-cell lymphoma
9712/3	Synonym	Intravascular B-cell lymphoma
9712/3	Synonym	Angioendotheliomatosis
9712/3	Synonym	Angiotropic lymphoma
9714/3	Preferred	Anaplastic large cell lymphoma, T-cell and Null-cell type
9714/3	Synonym	Large cell (Ki-1 positive) lymphoma
9714/3	Related	Anaplastic large cell lymphoma, NOS
9714/3	Synonym	Anaplastic large cell lymphoma, CD30 positive
9714/3	Related	Anaplastic large cell lymphoma, ALK positive
9715/3	Preferred	Anaplastic large cell lymphoma, ALK negative
9715/3	Related	Breast implant-associated anaplastic large cell lymphoma
9716/3	Preferred	Hepatosplenic T-cell lymphoma
9716/3	Synonym	Hepatosplenic gamma-delta cell lymphoma
9717/3	Preferred	Intestinal T-cell lymphoma
9717/3	Synonym	Enteropathy-associated T-cell lymphoma
9717/3	Synonym	Enteropathy type intestinal T-cell lymphoma
9717/3	Related	Monomorphic epitheliotropic intestinal T-cell lymphoma
9718/1	Preferred	Primary cutaneous CD30 positive T-cell lymphoproliferative disorder
9718/1	Synonym	Lymphomatoid papulosis
9718/3	Preferred	Primary cutaneous anaplastic large cell lymphoma
9718/3	Synonym	Primary cutaneous CD30 positive large T-cell lymphoma
9719/3	Preferred	NK/T-cell lymphoma, nasal and nasal type
9719/3	Synonym	Malignant reticulosis, NOS
9719/3	Synonym	Angiocentric T-cell lymphoma
9719/3	Synonym	Extranodal NK/T-cell lymphoma, nasal type
9719/3	Synonym	Malignant midline reticulosis
9719/3	Synonym	Polymorphic reticulosis
9719/3	Synonym	T/NK-cell lymphoma
972	3	Precursor cell lymphoblastic lymphomas
9724/3	Preferred	Systemic EBV positive T-cell lymphoproliferative disease of childhood
9725/1	Preferred	Hydroa vacciniforme-like lymphoproliferative disorder
9725/1	Synonym	Hydroa vacciniforme-like lymphoma
9726/3	Preferred	Primary cutaneous gamma-delta T-cell lymphoma
9727/3	Preferred	Precursor cell lymphoblastic lymphoma, NOS (see also M-9835/3)
9727/3	Synonym	Malignant lymphoma, lymphoblastic, NOS (see also M-9835/3)
9727/3	Synonym	Lymphoblastoma
9727/3	Synonym	Malignant lymphoma, convoluted cell
9727/3	Related	Blastic NK-cell lymphoma
9727/3	Related	Blastic plasmacytoid dendritic cell neoplasm
973	2	Plasma cell neoplasms
9731/3	Preferred	Plasmacytoma, NOS
9731/3	Synonym	Plasma cell tumor
9731/3	Synonym	Plasmacytoma of bone
9731/3	Synonym	Solitary myeloma
9731/3	Synonym	Solitary plasmacytoma
9732/3	Preferred	Plasma cell myeloma
9732/3	Synonym	Multiple myeloma
9732/3	Synonym	Myeloma, NOS
9732/3	Synonym	Myelomatosis
9733/3	Preferred	Plasma cell leukemia
9733/3	Synonym	Plasmacytic leukemia
9734/3	Preferred	Plasmacytoma, extramedullary (not occurring in bone)
9734/3	Synonym	Extraosseous plasmacytoma
9735/3	Preferred	Plasmablastic lymphoma
9737/3	Preferred	ALK positive large B-cell lymphoma
9738/3	Preferred	HHV8 positive diffuse large B-cell lymphoma
9738/3	Synonym	Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease
974	2	Mast cell neoplasms
9740/1	Preferred	Mastocytoma, NOS
9740/1	Synonym	Mast cell tumor, NOS
9740/1	Related	Cutaneous mastocytosis, NOS
9740/1	Related	Diffuse cutaneous mastocytosis
9740/1	Related	Extracutaneous mastocytoma
9740/1	Related	Solitary mastocytoma of skin
9740/1	Related	Urticaria pigmentosa
9740/3	Preferred	Mast cell sarcoma
9740/3	Synonym	Malignant mast cell tumor
9740/3	Synonym	Malignant mastocytoma
9741/1	Preferred	Indolent systemic mastocytosis
9741/3	Preferred	Malignant mastocytosis
9741/3	Synonym	Systemic tissue mast cell disease
9741/3	Related	Aggressive systemic mastocytosis
9741/3	Related	Systemic mastocytosis with AHNMD
9741/3	Related	Systemic mastocytosis with associated hematological clonal non-mast cell disorder
9742/3	Preferred	Mast cell leukemia
9749/3	Preferred	Erdheim-Chester disease
975	2	Neoplasms of histiocytes and accessory lymphoid cells
9750/3	Preferred	Malignant histiocytosis
9750/3	Related	Histiocytic medullary reticulosis
9751/1	Preferred	Langerhans cell histiocytosis, NOS
9751/1	Related	Langerhans cell histiocytosis, monostotic
9751/1	Related	Langerhans cell histiocytosis, polystotic
9751/3	Preferred	Langerhans cell histiocytosis, disseminated
9751/3	Synonym	Langerhans cell granulomatosis
9751/3	Related	Eosinophilic granuloma
9751/3	Related	Acute progressive histiocytosis X
9751/3	Related	Histiocytosis X, NOS
9751/3	Related	Hand-Schuller-Christian disease
9751/3	Related	Letterer-Siwe disease
9751/3	Related	Nonlipid reticuloendotheliosis
9755/3	Preferred	Histiocytic sarcoma
9755/3	Related	True histiocytic lymphoma
9756/3	Preferred	Langerhans cell sarcoma
9757/3	Preferred	Interdigitating dendritic cell sarcoma
9757/3	Synonym	Interdigitating cell sarcoma
9757/3	Related	Dendritic cell sarcoma, NOS
9757/3	Related	Indeterminate dendritic cell tumor
9758/3	Preferred	Follicular dendritic cell sarcoma
9758/3	Related	Follicular dendritic cell tumor
9759/3	Preferred	Fibroblastic reticular cell tumor
976	2	Immunoproliferative diseases
9760/3	Preferred	Immunoproliferative disease, NOS
9761/1	Preferred	IgM monoclonal gammopathy of undetermined significance
9761/3	Preferred	Waldenstrom macroglobulinemia (see also M-9671/3)
9762/3	Preferred	Heavy chain disease, NOS
9762/3	Related	Alpha heavy chain disease
9762/3	Related	Gamma heavy chain disease
9762/3	Synonym	Franklin disease
9762/3	Related	Mu heavy chain disease
9764/3	Preferred	Immunoproliferative small intestinal disease
9764/3	Synonym	Mediterranean lymphoma
9765/1	Preferred	Monoclonal gammopathy of undetermined significance, NOS
9765/1	Synonym	MGUS
9765/1	Synonym	Monoclonal gammopathy, NOS
9766/1	Preferred	Angiocentric immunoproliferative lesion
9766/1	Related	Lymphomatoid granulomatosis, NOS
9766/1	Related	Lymphomatoid granulomatosis, grade 1
9766/1	Related	Lymphomatoid granulomatosis, grade 2
9766/3	Preferred	Lymphomatoid granulomatosis, grade 3
9767/1	Preferred	Angioimmunoblastic lymphadenopathy (AIL)
9767/1	Synonym	Immunoblastic lymphadenopathy (IBL)
9768/1	Preferred	T-gamma lymphoproliferative disease
9769/1	Preferred	Immunoglobulin deposition disease
9769/1	Synonym	Primary amyloidosis
9769/1	Synonym	Systemic light chain disease
980-994	2	Leukemias
980	3	Leukemias, NOS
9800/3	Preferred	Leukemia, NOS
9800/3	Related	Aleukemic leukemia, NOS
9800/3	Related	Chronic leukemia, NOS
9800/3	Related	Subacute leukemia, NOS
9801/3	Preferred	Acute leukemia, NOS
9801/3	Synonym	Blast cell leukemia
9801/3	Synonym	Stem cell leukemia
9801/3	Synonym	Undifferentiated leukemia
9805/3	Preferred	Acute biphenotypic leukemia
9805/3	Related	Acute bilineal leukemia
9805/3	Related	Acute mixed lineage leukemia
9806/3	Preferred	"Mixed phenotype acute leukemia with t(9;22)(q34;q11.2); BCR-ABL1"
9807/3	Preferred	"Mixed phenotype acute leukemia with t(v;11q23); MLL rearranged"
9808/3	Preferred	Mixed phenotype acute leukemia, B/myeloid, NOS
9809/3	Preferred	Mixed phenotype acute leukemia, T/myeloid, NOS
981-983	3	Lymphoid leukemias
9811/3	Preferred	B lymphoblastic leukemia/lymphoma, NOS
9811/3	Synonym	c-ALL
9811/3	Synonym	Common ALL
9811/3	Synonym	Common precursor B ALL
9811/3	Synonym	Pre-B ALL
9811/3	Synonym	Pre-pre-B ALL
9811/3	Synonym	Pro-B ALL
9811/3	Synonym	Precursor B-cell lymphoblastic lymphoma
9811/3	Synonym	Precursor B-cell lymphoblastic leukaemia
9811/3	Related	B lymphoblastic leukemia/lymphoma with iAMP21
9812/3	Preferred	"B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1"
9813/3	Preferred	"B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged"
9814/3	Preferred	"B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)"
9815/3	Preferred	B lymphoblastic leukemia/lymphoma with hyperdiploidy
9816/3	Preferred	B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL)
9817/3	Preferred	"B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH"
9818/3	Preferred	"B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)"
9819/3	Preferred	B lymphoblastic leukemia/lymphoma, BCR-ABL1-like
9820/3	Preferred	Lymphoid leukemia, NOS
9820/3	Related	Lymphatic leukemia, NOS
9820/3	Related	Lymphocytic leukemia, NOS
9820/3	Related	Aleukemic lymphoid leukemia
9820/3	Synonym	Aleukemic lymphatic leukemia
9820/3	Synonym	Aleukemic lymphocytic leukemia
9820/3	Related	Lymphosarcoma cell leukemia
9820/3	Related	Subacute lymphoid leukemia
9820/3	Synonym	Subacute lymphatic leukemia
9820/3	Synonym	Subacute lymphocytic leukemia
9823/1	Preferred	Monoclonal B-cell lymphocytosis, CLL type
9823/3	Preferred	B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma
9823/3	Synonym	Chronic lymphatic leukemia
9823/3	Synonym	Chronic lymphocytic leukemia
9823/3	Synonym	Chronic lymphocytic leukemia, B-cell type includes all variants
9823/3	Synonym	Chronic lymphoid leukemia
9823/3	Synonym	Malignant lymphoma, small B lymphocytic, NOS
9823/3	Synonym	Malignant lymphoma, lymphocytic, NOS
9823/3	Synonym	Malignant lymphoma, lymphocytic, diffuse, NOS
9823/3	Synonym	Malignant lymphoma, small cell, NOS
9823/3	Synonym	Malignant lymphoma, small lymphocytic, NOS
9823/3	Synonym	Malignant lymphoma, lymphocytic, well differentiated, diffuse
9823/3	Synonym	Malignant lymphoma, small cell diffuse
9823/3	Synonym	Malignant lymphoma, small lymphocytic, diffuse
9827/3	Preferred	Adult T-cell leukemia/lymphoma (HTLV-1 positive) includes all variants
9827/3	Synonym	Adult T-cell leukemia
9827/3	Synonym	Adult T-cell lymphoma
9827/3	Synonym	Adult T-cell lymphoma/leukemia
9831/3	Preferred	T-cell large granular lymphocytic leukemia
9831/3	Synonym	Large granular lymphocytosis, NOS
9831/3	Synonym	NK-cell large granular lymphocytic leukemia
9831/3	Synonym	T-cell large granular lymphocytosis
9831/3	Related	Chronic lymphoproliferative disorder of NK cells
9832/3	Preferred	Prolymphocytic leukemia, NOS
9833/3	Preferred	Prolymphocytic leukemia, B-cell type
9834/3	Preferred	Prolymphocytic leukemia, T-cell type
9835/3	Preferred	Precursor cell lymphoblastic leukemia, NOS (see also M-9727/3)
9835/3	Synonym	Acute lymphoblastic leukemia, NOS (see also M-9727/3)
9835/3	Synonym	Acute lymphoblastic leukemia, L2 type, NOS
9835/3	Synonym	Acute lymphoblastic leukemia-lymphoma, NOS
9835/3	Synonym	Lymphoblastic leukemia, NOS
9835/3	Synonym	Acute lymphatic leukemia
9835/3	Synonym	Acute lymphocytic leukemia
9835/3	Synonym	Acute lymphoid leukemia
9835/3	Synonym	FAB L1
9835/3	Synonym	FAB L2
9835/3	Synonym	Precursor cell lymphoblastic leukemia, not phenotyped
9835/3	Synonym	Acute lymphoblastic leukemia, precursor-cell type
9837/3	Preferred	Precursor T-cell lymphoblastic leukemia
9837/3	Synonym	Cortical T ALL
9837/3	Synonym	Mature T ALL
9837/3	Synonym	Pre-T ALL
9837/3	Synonym	Pro-T ALL
9837/3	Synonym	Precursor T-cell lymphoblastic lymphoma
9837/3	Related	T lymphoblastic leukemia/lymphoma
9837/3	Related	Early T-cell precursor acute lymphoblastic leukemia
984-993	3	Myeloid leukemias
9840/3	Preferred	Acute erythroid leukemia
9840/3	Synonym	Acute myeloid leukemia, M6 type
9840/3	Synonym	Acute erythremia
9840/3	Synonym	Acute erythremic myelosis
9840/3	Synonym	AML M6
9840/3	Synonym	Di Guglielmo disease
9840/3	Synonym	Erythremic myelosis, NOS
9840/3	Synonym	Erythroleukemia
9840/3	Synonym	FAB M6
9840/3	Synonym	M6A
9840/3	Synonym	M6B
9860/3	Preferred	Myeloid leukemia, NOS
9860/3	Synonym	Granulocytic leukemia, NOS
9860/3	Synonym	Myelocytic leukemia, NOS
9860/3	Synonym	Myelogenous leukemia, NOS
9860/3	Synonym	Myelomonocytic leukemia, NOS
9860/3	Synonym	Non-lymphocytic leukemia, NOS
9860/3	Related	Aleukemic myeloid leukemia
